Metal,-3,-2,-1,0,1,2,3,4,5,6,Total
Sc,0,0,3,353,194,1109,836,0,0,0,2495
Ti,2,2,11,276,375,1475,2337,10774,0,0,15252
V,12,8,18,258,386,555,657,955,1659,0,4508
Cr,2,0,0,1927,787,2134,3757,874,552,9304,19337
Mn,0,0,14,2137,2774,1188,1248,872,987,3441,12661
Fe,7,10,32,8895,7395,10216,6163,3840,936,4206,41700
Co,17,9,43,4255,5865,4463,3515,967,852,1133,21119
Ni,87,56,111,9106,9520,11169,2400,1788,378,761,35376
Cu,174,245,320,7741,14084,4971,3089,674,589,211,32098
Zn,3,2,100,4903,1531,1535,118,154,1,117,8464
Y,0,0,0,221,148,595,420,0,0,0,1384
Zr,3,15,40,210,667,1025,4252,7484,0,0,13696
Nb,0,0,0,32,34,186,146,536,1110,0,2044
Mo,0,0,2,344,1189,1025,12386,4048,4166,9555,32715
Tc,14,5,3,81,13,51,28,34,132,59,420
Ru,11,6,31,3129,4509,7504,3613,5297,725,3821,28646
Rh,66,21,741,5307,8309,8114,11854,1588,2454,1304,39758
Pd,155,128,228,15997,14938,25015,4384,4621,758,1725,67949
Ag,4,58,113,1826,2359,969,643,192,67,41,6272
Cd,0,0,8,81,26,25,22,31,18,23,234
Hf,0,0,0,19,38,242,334,877,0,0,1510
Ta,1,2,4,34,57,149,313,510,1412,0,2482
W,0,1,3,794,254,532,199,717,2595,12811,17906
Re,0,0,4,547,386,275,326,208,751,799,3296
Os,1,3,2,276,251,490,410,678,211,428,2750
Ir,5,3,17,2247,3202,3922,4460,1324,984,968,17132
Pt,66,112,103,1669,1891,4689,1022,1440,140,232,11364
Au,83,218,259,8250,5678,3354,1549,318,158,161,20028
Hg,0,0,10,165,38,130,25,2,0,0,370
